american_football.football_coach	"American football head coach"
distilled_spirits.blended_spirit_style	"Blended spirit style"
distilled_spirits.distilled_spirit	"Distilled spirit"
distilled_spirits.distilled_spirit_type	"Distilled spirit type"
distilled_spirits.distillery	"Distillery"
distilled_spirits.fermentation_base	"Fermentation base"
distilled_spirits.infused_spirit	"Infused spirit"
distilled_spirits.infused_spirit_style	"Infused spirit style"
distilled_spirits.spirit_aging	"Spirit aging"
distilled_spirits.spirit_blender	"Spirit product manufacturer"
distilled_spirits.spirit_bottler	"Spirit bottler"
distilled_spirits.spirit_producing_region	"Spirit-producing region"
education.academic	"Academic"
education.academic_institution	"Academic institution"
education.academic_post	"Academic post"
education.academic_post_title	"Academic post title"
education.acceptance_rate	"Acceptance rate"
education.athletics_brand	"Athletics brand"
education.department	"Department"
education.dissertation	"Dissertation"
education.education	"Education"
education.educational_degree	"Degree"
education.educational_institution	"Educational Institution"
education.educational_institution_campus	"Educational Institution Campus"
education.field_of_study	"Field of study"
education.fraternity_sorority	"Fraternity/Sorority"
education.fraternity_sorority_type	"Fraternity/sorority type"
education.gender_enrollment	"Gender enrollment"
education.grade_level	"Grade level"
education.honorary_degree	"Honorary Degree"
education.honorary_degree_recipient	"Honorary Degree Recipient"
education.school	"School"
education.school_category	"School category"
education.school_district	"School district"
education.school_magazine	"School magazine"
education.school_mascot	"School mascot"
education.school_newspaper	"School newspaper"
education.student_organization	"Student organization"
education.student_radio_station	"Student radio station"
education.student_teacher_ratio	"Student:teacher ratio"
education.university	"College/University"
education.university_system	"University system"
engineering.battery	"Battery"
engineering.battery_cell_type	"Battery cell type"
engineering.battery_shape_format	"Battery shape format"
engineering.battery_size	"Battery size"
engineering.battery_size_cell_variation	"Battery size cell variation"
engineering.channel_access_method	"Channel access method"
engineering.electric_current_type	"Electric current type"
engineering.engine	"Engine"
engineering.engine_category	"Engine category"
engineering.engine_cooling_method	"Engine cooling method"
engineering.engine_designer	"Engine designer"
engineering.engine_energy_source	"Engine energy source"
engineering.fuel_delivery_method	"Fuel delivery method"
engineering.location_with_mains_power	"Location with mains power"
engineering.mains_power	"Mains power"
engineering.material	"Material"
engineering.material_composition	"Material Composition"
engineering.piston_configuration	"Piston configuration"
engineering.piston_engine	"Piston engine"
engineering.power_plug_standard	"Power plug standard"
engineering.power_plug_standard_type	"Power plug standard type"
engineering.reaction_engine	"Reaction engine"
engineering.signal_modulation_mode	"Signal Modulation Mode"
engineering.valvetrain_configuration	"Valvetrain configuration"
event.disaster	"Disaster"
event.disaster_affected_structure	"Disaster-affected structure"
event.disaster_survivor	"Disaster survivor"
event.disaster_type	"Disaster type"
event.disaster_victim	"Disaster victim"
event.event_producer	"Event producer"
event.event_promoter	"Event promoter"
event.presented_work	"Presented work"
event.produced_event	"Produced event"
event.promoted_event	"Promoted event"
event.public_speaker	"Public speaker"
event.public_speaking_event	"Public speaking event"
event.speech_or_presentation	"Speech or presentation"
event.speech_topic	"Speech topic"
event.type_of_public_presentation	"Type of public presentation"
exhibitions.exhibit	"Exhibit"
exhibitions.exhibition	"Exhibition"
exhibitions.exhibition_curator	"Exhibition curator"
exhibitions.exhibition_producer	"Exhibition producer"
exhibitions.exhibition_run	"Exhibition run"
exhibitions.exhibition_sponsor	"Exhibition sponsor"
exhibitions.exhibition_subject	"Exhibition subject"
exhibitions.exhibition_venue	"Exhibition venue"
exhibitions.type_of_exhibition	"Type of Exhibition"
fashion.clothing_size	"Clothing size"
fashion.designer_label_association	"Designer-label association"
fashion.fashion_category	"Fashion category"
fashion.fashion_designer	"Fashion designer"
fashion.fashion_label	"Fashion label"
fashion.fashion_week	"Fashion week"
fashion.fiber	"Fiber"
fashion.garment	"Garment"
fashion.textile	"Textile"
fashion.weave	"Weave"
fictional_universe.calendar_system_directionality	"Calendar System Directionality"
fictional_universe.character_gender	"Character Gender"
fictional_universe.character_occupation	"Character Occupation"
fictional_universe.character_powers	"Character Power"
fictional_universe.character_rank	"Character Rank"
fictional_universe.character_species	"Character Species"
fictional_universe.ethnicity_in_fiction	"Ethnicity in fiction"
fictional_universe.event_in_fiction	"Event in fiction"
fictional_universe.fictional_calendar_system	"Fictional Calendar System"
fictional_universe.fictional_character	"Fictional Character"
fictional_universe.fictional_character_creator	"Fictional Character Creator"
fictional_universe.fictional_creature	"Fictional Creature"
fictional_universe.fictional_date_time	"Fictional Date/Time"
fictional_universe.fictional_employer	"Employer in fiction"
fictional_universe.fictional_employment_tenure	"Fictional employment tenure"
fictional_universe.fictional_job_title	"Fictional job title"
fictional_universe.fictional_language	"Language in fiction"
fictional_universe.fictional_object	"Fictional Object"
fictional_universe.fictional_object_destroyer	"Fictional Object Destroyer"
fictional_universe.fictional_object_destruction_method	"Fictional Object Destruction Method"
fictional_universe.fictional_organization	"Organization in fiction"
fictional_universe.fictional_organization_founder	"Fictional Organization Founder"
fictional_universe.fictional_organization_type	"Fictional Organization Type"
fictional_universe.fictional_plant	"Fictional Plant"
fictional_universe.fictional_setting	"Fictional Setting"
fictional_universe.fictional_substance	"Material in fiction"
fictional_universe.fictional_universe	"Fictional Universe"
fictional_universe.fictional_universe_creator	"Fictional universe creator"
fictional_universe.marriage_of_fictional_characters	"Marriage (of Fictional Characters)"
fictional_universe.medical_condition_in_fiction	"Medical condition in fiction"
fictional_universe.person_in_fiction	"Person Or Being In Fiction"
fictional_universe.romantic_involvement	"Romantic involvement"
fictional_universe.school_in_fiction	"School in fiction"
fictional_universe.sibling_relationship_of_fictional_characters	"Sibling Relationship (of Fictional Characters)"
fictional_universe.type_of_fictional_setting	"Type of fictional setting"
fictional_universe.work_of_fiction	"Work of Fiction"
film.actor	"Film actor"
film.cinematographer	"Film cinematographer"
film.content_rating	"Film rating"
film.content_rating_system	"Film rating system"
film.director	"Film director"
film.dubbing_performance	"Dubbing performance"
film.editor	"Film editor"
film.film	"Film"
film.film_art_director	"Film art director"
film.film_casting_director	"Film casting director"
film.film_character	"Film character"
film.film_collection	"Film collection"
film.film_company	"Film company"
film.film_company_role_or_service	"Film company role or service"
film.film_costumer_designer	"Film costumer designer"
film.film_crew_gig	"Film crew gig"
film.film_crewmember	"Film crewmember"
film.film_critic	"Film critic"
film.film_cut	"Film cut"
film.film_cut_type	"Film cut type"
film.film_distribution_medium	"Film distribution medium"
film.film_distributor	"Film distributor"
film.film_featured_song	"Film featured song"
film.film_festival	"Film festival"
film.film_festival_event	"Film festival event"
film.film_festival_focus	"Film festival focus"
film.film_festival_sponsor	"Film festival sponsor"
film.film_festival_sponsorship	"Film festival sponsorship"
film.film_film_company_relationship	"Film-Film company relationship"
film.film_film_distributor_relationship	"Film-Film distributor relationship"
film.film_format	"Film format"
film.film_genre	"Film genre"
film.film_job	"Film job"
film.film_location	"Filming location"
film.film_production_designer	"Film production designer"
film.film_regional_release_date	"Film regional release date"
film.film_screening_venue	"Film screening venue"
film.film_series	"Film series"
film.film_set_designer	"Film set decorator"
film.film_song	"Film song"
film.film_song_performer	"Film song performer"
film.film_song_relationship	"Film song relationship"
film.film_story_contributor	"Film story contributor"
film.film_subject	"Film subject"
film.film_theorist	"Film theorist"
film.music_contributor	"Film music contributor"
film.performance	"Film performance"
film.person_or_entity_appearing_in_film	"Person or entity appearing in film"
film.personal_film_appearance	"Personal film appearance"
film.personal_film_appearance_type	"Personal film appearance type"
film.producer	"Film producer"
film.production_company	"Production company"
film.special_film_performance_type	"Special film performance type"
film.writer	"Film writer"
finance.currency	"Currency"
finance.exchange_operator	"Exchange operator"
finance.exchange_operator_relationship	"Exchange-operator relationship"
finance.exchange_rate	"Exchange rate"
finance.stock_exchange	"Stock exchange"
food.beer	"Beer"
food.beer_container	"Beer container"
food.beer_containment	"Beer containment"
food.beer_country_region	"Beer country / region"
food.beer_production	"Beer production"
food.beer_style	"Beer style"
food.beer_style_category	"Beer Style Category"
food.beverage	"Beverage"
food.beverage_type	"Beverage type"
food.bottled_water	"Bottled water"
food.brewery_brand_of_beer	"Brewery / Brand of beer"
food.candy_bar	"Candy bar"
food.candy_bar_manufacturer	"Candy bar manufacturer"
food.cheese	"Cheese"
food.cheese_certification	"Cheese certification"
food.cheese_milk_source	"Cheese milk source"
food.cheese_texture	"Cheese texture"
food.culinary_measure	"Culinary measure"
food.culinary_technique	"Culinary Technique"
food.culinary_tool	"Culinary tool"
food.diet	"Diet"
food.diet_follower	"Diet follower"
food.dietary_restriction	"Dietary restriction"
food.dish	"Dish"
food.drinking_establishment	"Drinking establishment"
food.drinking_establishment_type	"Drinking establishment type"
food.food	"Food"
food.ingredient	"Ingredient"
food.licensee	"Drinking establishment licensee"
food.licensee_tenure	"Licensee tenure"
food.nutrient	"Nutrient"
food.nutrition_fact	"Nutrition Fact"
food.recipe	"Recipe"
food.recipe_author	"Recipe author"
food.recipe_collection	"Recipe collection"
food.recipe_ingredient	"Recipe ingredient"
food.recipe_instruction	"Recipe instruction"
food.tea	"Tea"
food.tea_type	"Tea type"
food.type_of_dish	"Type of dish"
food.wine_style	"Wine style"
games.game	"Game"
games.game_designer	"Game designer"
games.game_expansion	"Game expansion"
games.game_genre	"Game genre"
games.game_publisher	"Game publisher"
games.playing_card_deck_type	"Playing card deck type"
games.playing_card_game	"Playing card game"
games.playing_card_game_play_direction	"Playing card game play direction"
geography.body_of_water	"Body Of Water"
geography.geographical_feature	"Geographical Feature"
geography.geographical_feature_category	"Geographical feature category"
geography.glacier	"Glacier"
geography.glacier_status	"Glacier status"
geography.glacier_terminus	"Glacier terminus"
geography.glacier_type	"Glacier type"
geography.island	"Island"
geography.island_group	"Island Group"
geography.lake	"Lake"
geography.lake_type	"Lake type"
geography.mountain	"Mountain"
geography.mountain_age	"Mountain age"
geography.mountain_listing	"Mountain Listing"
geography.mountain_pass	"Mountain pass"
geography.mountain_range	"Mountain range"
geography.mountain_type	"Mountain type"
geography.mountaineer	"Mountaineer"
geography.river	"River"
geography.waterfall	"Waterfall"
geography.waterfall_type	"Waterfall type"
geology.geological_formation	"Geological formation"
geology.rock_type	"Rock type"
government.australian_mp	"Australian Member of Parliament"
government.canadian_mp	"Canadian Member of Parliament"
government.election	"Election contest"
government.election_campaign	"Election campaign"
government.election_poll	"Election poll"
government.election_poll_score	"Election poll score"
government.election_with_polls	"Election with polls"
government.electoral_college	"Electoral college"
government.electoral_college_elected_office	"Electoral college elected office"
government.form_of_government	"Form of Government"
government.general_election	"General election"
government.government	"Government"
government.government_agency	"Government Agency"
government.government_issued_permit	"Government Issued Permit"
government.government_office_category	"Government office category"
government.government_office_or_title	"Government Office or Title"
government.government_permit_type	"Government Permit Type"
government.government_position_held	"Government Position Held"
government.government_service	"Government Service"
government.government_service_audience	"Government Service Audience"
government.government_service_audience_type	"/government/service_audience_type"
government.government_service_channel	"Government Service Channel"
government.government_service_duration	"Government Service Duration"
government.government_service_type	"Government Service Type"
government.governmental_body	"Governmental Body"
government.governmental_jurisdiction	"Governmental Jurisdiction"
government.indirect_election	"Indirect election"
government.legislative_committee	"Legislative committee"
government.legislative_committee_membership	"Legislative committee membership"
government.legislative_committee_title	"Legislative committee title"
government.legislative_election_results	"Legislative election results"
government.legislative_session	"Legislative session"
government.national_anthem	"National Anthem"
government.national_anthem_of_a_country	"National anthem of a country"
government.parliamentary_election	"Parliamentary election"
government.political_appointer	"Political Appointer"
government.political_district	"Political District"
government.political_ideology	"Political ideology"
government.political_party	"Political party"
government.political_party_tenure	"Political Party Tenure"
government.politician	"Politician"
government.poll_respondent_category	"Poll respondent category"
government.polled_area	"Polled area"
government.polled_entity	"Polled entity"
government.polling_authority	"Polling authority"
government.primary_election	"Primary election"
government.u_s_congressperson	"U.S. Congressperson"
government.us_president	"US President"
government.us_presidential_campaign	"US Presidential campaign"
government.us_vice_president	"US Vice President"
government.us_vice_presidential_campaign	"US Vice Presidential campaign"
ice_hockey.hockey_coach	"Ice hockey coach"
ice_hockey.hockey_conference	"Ice hockey conference"
ice_hockey.hockey_division	"Ice hockey division"
ice_hockey.hockey_player	"Ice hockey player"
ice_hockey.hockey_position	"Ice hockey position"
ice_hockey.hockey_team	"Ice hockey team"
imdb.topic	"Topic"
influence.influence_node	"Influence Node"
influence.peer_relationship	"Peer Relationship"
interests.collectable_item	"Collectable item"
interests.collection	"Collection"
interests.collection_activity	"Collection activity"
interests.collection_category	"Collection category"
interests.collector	"Collector"
interests.hobby	"Hobby"
interests.hobbyist	"Hobbyist"
interests.interest	"Interest"
internet.api	"API"
internet.blog	"Blog"
internet.blogger	"Blogger"
internet.localized_uri	"Localized URI"
internet.protocol	"Protocol"
internet.social_network_user	"Social network user"
internet.top_level_domain	"Top Level Domain"
internet.top_level_domain_registry	"Top Level Domain Registry"
internet.top_level_domain_sponsor	"Top Level Domain Sponsor"
internet.top_level_domain_status	"Top Level Domain Status"
internet.top_level_domain_type	"Top Level Domain Type"
internet.website	"Website"
internet.website_category	"Website Category"
internet.website_owner	"Website Owner"
internet.website_ownership	"Website ownership"
internet.website_status	"Website Status"
language.conlang	"Conlang"
language.conlang_purpose	"Conlang type"
language.human_language	"Human Language"
language.language_creator	"Language Creator"
language.language_dialect	"Language Dialect"
language.language_family	"Language Family"
language.language_regulator	"Language Regulator"
language.language_writing_system	"Language Writing System"
language.language_writing_type	"Language Writing Type"
law.constitution	"Constitution"
law.constitutional_amendment	"Constitutional Amendment"
law.constitutional_amendment_proposer	"Constitutional Amendment Proposer"
law.constitutional_convention	"Constitutional Convention"
law.constitutional_convention_delegate	"Constitutional Convention Delegate"
law.court	"Court"
law.court_courthouse_relationship	"Court-courthouse relationship"
law.court_jurisdiction_area	"Court jurisdiction area"
law.courthouse	"Courthouse"
law.international_patent_category	"International Patent Category"
law.invention	"Invention"
law.inventor	"Inventor"
law.judge	"Judge"
law.judicial_tenure	"Judicial tenure"
law.judicial_title	"Judicial title"
law.legal_case	"Legal case"
law.legal_case_party_relationship	"Legal case/party relationship"
law.legal_party_role	"Litigation role"
law.legal_subject	"Legal subject"
law.litigant	"Litigant"
law.patent_assignee	"Patent Assignee"
law.patent_office	"Patent office"
law.us_patent	"Patent"
law.us_patent_category	"US Patent Category"
law.us_patent_type	"US Patent Type"
library.public_library	"Public Library"
library.public_library_system	"Public Library System"
location.adjoining_relationship	"Adjoining Relationship"
location.administrative_division	"Administrative Division"
location.administrative_division_capital_relationship	"Administrative division/capital relationship"
location.ar_commune	"Argentine commune"
location.ar_department	"Argentine department"
location.ar_province	"Argentine province"
location.australian_external_territory	"Australian external territory"
location.australian_local_government_area	"Australian local government area"
location.australian_state	"Australian State"
location.australian_suburb	"Australian Suburb"
location.australian_territory	"Australian Territory"
location.br_federal_district	"Brazilian federal district"
location.br_state	"Brazilian state"
location.brazilian_municipality	"Brazilian municipality"
location.ca_census_division	"Canadian Census Division"
location.ca_indian_reserve	"Canadian Indian Reserve"
location.ca_territory	"Canadian Territory"
location.capital_category	"Capital category"
location.capital_of_administrative_division	"Capital of administrative division"
location.cemetery	"Cemetery"
location.census_designated_place	"US Census Designated Place"
location.census_tract	"US Census Tract"
location.citytown	"City/Town/Village"
location.cn_autonomous_county	"Chinese autonomous county"
location.cn_autonomous_prefecture	"Chinese autonomous prefecture"
location.cn_autonomous_region	"Chinese autonomous region"
location.cn_city_district	"Chinese city district"
location.cn_county	"Chinese county"
location.cn_county_district	"Chinese county district"
location.cn_county_level_city	"Chinese county-level city"
location.cn_municipality	"Chinese municipality"
location.cn_prefecture	"Chinese prefecture"
location.cn_prefecture_level_city	"Chinese prefecture-level city"
location.cn_province	"Chinese province"
location.cn_special_administrative_region	"Chinese special administrative region"
location.cn_subdistrict	"Chinese subdistrict"
location.cn_town	"Chinese town"
location.cn_township	"Chinese township"
location.co2_emission	"CO2 emission"
location.continent	"Continent"
location.cotermination	"Cotermination"
location.country	"Country"
location.dated_location	"Dated location"
location.de_borough	"German borough"
location.de_city	"German city"
location.de_regierungsbezirk	"German regierungsbezirk"
location.de_rural_district	"German rural district"
location.de_state	"German state"
location.de_urban_district	"German urban district"
location.electricity_production	"Electricity production"
location.es_autonomous_city	"Spanish autonomous city"
location.es_autonomous_community	"Spanish autonomous community"
location.es_comarca	"Spanish comarca"
location.es_place_of_sovereignty	"Spanish place of sovereignty"
location.es_province	"Spanish province"
location.fr_department	"French Department"
location.fr_region	"French Region"
location.geocode	"Geocode"
location.geometry	"Geometry"
location.hk_district	"Hong Kong district"
location.hud_county_place	"HUD County Place"
location.hud_foreclosure_area	"HUD Foreclosure Area"
location.hud_mfa	"HUD HMFA"
location.hud_nmfa	"HUD Nonmetro FMR Area"
location.hud_section_8_area	"HUD Section 8 Area"
location.id_city	"Indonesian city"
location.id_province	"Indonesian province"
location.id_regency	"Indonesian regency"
location.id_subdistrict	"Indonesian subdistrict"
location.imports_and_exports	"Imports and exports"
location.imports_exports_by_industry	"Imports/exports by industry"
location.in_city	"Indian city"
location.in_district	"Indian district"
location.in_division	"Indian division"
location.in_state	"Indian state"
location.in_subdivision	"Indian sub-division"
location.in_union_territory	"Indian union territory"
location.irish_province	"Irish Province"
location.it_comune	"Italian comune"
location.it_frazione	"Italian frazione"
location.it_province	"Italian province"
location.it_region	"Italian region"
location.jp_city_town	"Japanese city/town"
location.jp_designated_city	"Japanese designated city"
location.jp_district	"Japanese district"
location.jp_prefecture	"Japanese prefecture"
location.jp_special_ward	"Special ward of Tokyo, Japan"
location.jp_subprefecture	"Japanese subprefecture"
location.jp_ward	"Japanese ward"
location.kp_city	"South Korean city"
location.kp_county	"South Korean county"
location.kp_metropolitan_city	"South Korean metropolitan city"
location.kp_province	"South Korean province"
location.kp_special_city	"South Korean special city"
location.location	"Location"
location.location_symbol_relationship	"Location/symbol relationship"
location.mailing_address	"Address"
location.metropolitan_area	"Metropolitan area"
location.metropolitan_area_anchor	"Metropolitan area anchor"
location.metropolitan_area_category	"Metropolitan area category"
location.mx_federal_district	"Mexican federal district"
location.mx_federal_district_borough	"Mexican federal district borough"
location.mx_municipality	"Mexican municipality"
location.mx_state	"Mexican state"
location.my_district	"Malaysian district"
location.my_division	"Malaysian division"
location.my_federal_territory	"Malaysian federal territory"
location.my_state	"Malaysian state"
location.natural_gas_production	"Natural gas production"
location.neighborhood	"Neighborhood"
location.nl_municipality	"Dutch municipality"
location.nl_province	"Dutch province"
location.offical_symbol_variety	"Official symbol variety"
location.oil_production	"Oil production"
location.partial_containment_relationship	"Partial containment relationship"
location.place_with_neighborhoods	"Place with neighborhoods"
location.population_growth_rate	"Population growth rate"
location.postal_code	"Postal Code"
location.pr_municipality	"Puerto Rican Municipality"
location.province	"Canadian Province"
location.region	"Region"
location.religion_percentage	"Religion percentage"
location.ru_autonomous_oblast	"Russian autonomous oblast"
location.ru_autonomous_okrug	"Russian autonomous okrug"
location.ru_federal_city	"Russian federal city"
location.ru_federal_district	"Russian federal district"
location.ru_krai	"Russian krai"
location.ru_oblast	"Russian oblast"
location.ru_raion	"Russian raion"
location.ru_republic	"Russian republic"
location.statistical_region	"Statistical region"
location.symbol_of_administrative_division	"Official symbol"
location.tr_district	"Turkish district"
location.tr_province	"Turkish province"
location.tr_region	"Turkish region"
location.tw_county	"Taiwanese county"
location.tw_county_administered_city	"Taiwanese county administered city"
location.tw_direct_controlled_municipality	"Taiwanese direct-controlled municipality"
location.tw_district	"Taiwanese district"
location.tw_province	"Taiwanese province"
location.tw_provincial_city	"Taiwanese provincial city"
location.tw_township	"Taiwanese township"
location.ua_autonomous_republic	"Ukraine Autonomous Republic"
location.ua_oblast	"Ukraine Oblast"
location.ua_raion	"Ukraine Raion"
location.uk_civil_parish	"English civil parish"
location.uk_constituent_country	"UK constituent country"
location.uk_council_area	"Scottish council area"
location.uk_crown_dependency	"UK crown dependency"
location.uk_district	"Northern Irish district"
location.uk_london_borough	"London borough"
location.uk_metropolitan_borough	"English metropolitan borough"
location.uk_metropolitan_county	"English metropolitan county"
location.uk_non_metropolitan_county	"English non-metropolitan county"
location.uk_non_metropolitan_district	"English non-metropolitan district"
location.uk_overseas_territory	"UK overseas territory"
location.uk_principal_area	"Welsh principal area"
location.uk_region	"English region"
location.uk_statistical_location	"UK statistical location"
location.uk_unitary_authority	"English unitary authority"
location.us_cbsa	"US Core Based Statistical Area"
location.us_county	"US County"
location.us_federal_district	"US Federal District"
location.us_indian_reservation	"US Indian Reservation"
location.us_metropolitan_division	"US Metropolitan Division"
location.us_state	"US State"
location.us_territory	"US Territory"
location.vn_centrally_controlled_municipality	"Vietnamese centrally-controlled municipality"
location.vn_commune	"Vietnamese commune"
location.vn_precinct	"Vietnamese precinct"
location.vn_province	"Vietnamese province"
location.vn_provincial_city	"Vietnamese provincial city"
location.vn_rural_district	"Vietnamese rural district"
location.vn_town_under_district	"Vietnamese town under district"
location.vn_township	"Vietnamese township"
location.vn_urban_district	"Vietnamese urban district"
martial_arts.martial_art	"Martial Art"
martial_arts.martial_art_category	"Martial Art Category"
martial_arts.martial_artist	"Martial Artist"
martial_arts.martial_arts_certification	"Martial Arts Certification"
martial_arts.martial_arts_organization	"Martial Arts Organization"
martial_arts.martial_arts_qualification	"Martial Arts Qualification"
measurement_unit.absorbed_dose_rate_unit	"Unit of Absorbed Dose Rate"
measurement_unit.absorbed_dose_unit	"Unit of Absorbed Dose"
measurement_unit.acceleration_unit	"Unit of Acceleration"
measurement_unit.adjusted_money_value	"Adjusted money value"
measurement_unit.amount_concentration_unit	"Unit of Amount Concentration"
measurement_unit.angle_unit	"Unit of Plane Angle"
measurement_unit.angular_acceleration_unit	"Unit of Angular Acceleration"
measurement_unit.angular_velocity_unit	"Unit of Angular Frequency"
measurement_unit.area_unit	"Unit of Area"
measurement_unit.capacitance_unit	"Unit of Capacitance"
measurement_unit.catalytic_activity_unit	"Unit of Catalytic Activity"
measurement_unit.catalytic_concentration_unit	"Unit of Catalytic Concentration"
measurement_unit.charge_unit	"Unit of Charge"
measurement_unit.common_dimension	"Common Dimension"
measurement_unit.conductance_unit	"Unit of Conductance"
measurement_unit.current_density_unit	"Unit of Current Density"
measurement_unit.current_unit	"Unit of Electric Current"
measurement_unit.data_size_unit	"Unit of Data Size"
measurement_unit.dated_btu	"Dated BTU"
measurement_unit.dated_cubic_meters	"Dated cubic meters"
measurement_unit.dated_days	"Dated days"
measurement_unit.dated_float	"Dated Float"
measurement_unit.dated_index_value	"Dated index value"
measurement_unit.dated_integer	"Dated Integer"
measurement_unit.dated_internet_speed	"Dated internet speed"
measurement_unit.dated_kgoe	"Dated kg of oil equivalent"
measurement_unit.dated_kilowatt_hour	"Dated kilowatt-hour"
measurement_unit.dated_metric_ton	"Dated metric ton"
measurement_unit.dated_metric_tons_per_million_ppp_dollars	"Dated emission intensity"
measurement_unit.dated_money_value	"Dated Money Value"
measurement_unit.dated_percentage	"Dated Percentage"
measurement_unit.dated_ratio	"Dated ratio"
measurement_unit.dimension	"Dimension"
measurement_unit.dimensions	"Dimensions"
measurement_unit.distance_unit	"Unit of Length"
measurement_unit.dose_equivalence_unit	"Unit of Dose Equivalence"
measurement_unit.electric_charge_density_unit	"Unit of Electric Charge Density"
measurement_unit.electric_field_strength_unit	"Unit of Electric Field Strength"
measurement_unit.electric_flux_density_unit	"Unit of Electric Flux Density"
measurement_unit.energy_density_unit	"Unit of Energy Density"
measurement_unit.energy_unit	"Unit of Energy"
measurement_unit.exposure_unit	"Unit of Exposure"
measurement_unit.floating_point_range	"Floating Point Range"
measurement_unit.force_moment_unit	"Unit of Moment of Force"
measurement_unit.fuel_economy_unit	"Unit of Fuel Economy"
measurement_unit.heat_capacity_unit	"Unit of Heat Capacity"
measurement_unit.illuminance_unit	"Unit of Illuminance"
measurement_unit.inductance_unit	"Unit of Inductance"
measurement_unit.integer_range	"Integer Range"
measurement_unit.integer_ratio	"Integer Ratio"
measurement_unit.inverse_temperature_unit	"Unit of Inverse Temperature"
measurement_unit.irradiance_unit	"Unit of Irradiance"
measurement_unit.luminance_unit	"Unit of Luminance"
measurement_unit.luminous_flux_unit	"Unit of Luminous Flux"
measurement_unit.luminous_intensity_unit	"Unit of Luminous Intensity"
measurement_unit.magnetic_field_strength_unit	"Unit of Magnetic Field Strength"
measurement_unit.magnetic_flux_density_unit	"Unit of Magnetic Flux Density"
measurement_unit.magnetic_flux_unit	"Unit of Magnetic Flux"
measurement_unit.mass_unit	"Unit of Mass"
measurement_unit.measurement_system	"Measurement System"
measurement_unit.measuring_instrument	"Measuring Instrument"
measurement_unit.molar_energy_unit	"Unit of Molar Energy"
measurement_unit.molar_heat_capacity_unit	"Unit of Molar Heat Capacity"
measurement_unit.molar_volume_unit	"Unit of Molar Volume"
measurement_unit.monetary_range	"Monetary Range"
measurement_unit.money_value	"Money value"
measurement_unit.percentage_range	"Percentage range"
measurement_unit.permeability_unit	"Unit of Permeability"
measurement_unit.permittivity_unit	"Unit of Permittivity"
measurement_unit.potential_unit	"Unit of Potential"
measurement_unit.power_unit	"Unit of Power"
measurement_unit.pressure_unit	"Unit of Pressure"
measurement_unit.radiance_unit	"Unit of Radiance"
measurement_unit.radiant_intensity_unit	"Unit of Radiant Intensity"
measurement_unit.radioactivity_unit	"Unit of Radioactivity"
measurement_unit.rect_size	"Rectangle Size"
measurement_unit.recurring_money_value	"Recurring money value"
measurement_unit.resistance_unit	"Unit of Resistance"
measurement_unit.solid_angle_unit	"Unit of Solid Angle"
measurement_unit.specific_energy_unit	"Unit of Specific Energy"
measurement_unit.specific_heat_capacity_unit	"Unit of Specific Heat Capacity"
measurement_unit.specific_volume_unit	"Unit of Specific Volume"
measurement_unit.speed_unit	"Unit of Speed"
measurement_unit.substance_unit	"Unit of Amount of Substance"
measurement_unit.surface_tension_unit	"Unit of Surface Tension"
measurement_unit.temperature_unit	"Unit of Temperature"
measurement_unit.thermal_conductivity_unit	"Unit of Thermal Conductivity"
measurement_unit.time_interval	"Time interval"
measurement_unit.time_unit	"Unit of Time"
measurement_unit.unit_of_brake_specific_fuel_consumption	"Unit of Brake Specific Fuel Consumption"
measurement_unit.unit_of_cargo_capacity	"Unit of Cargo Capacity"
measurement_unit.unit_of_conductivity	"Unit of Conductivity"
measurement_unit.unit_of_data_transmission_rate	"Unit of Data Transmission Rate"
measurement_unit.unit_of_density	"Unit of Density"
measurement_unit.unit_of_force	"Unit of Force"
measurement_unit.unit_of_frequency	"Unit of frequency"
measurement_unit.unit_of_molar_mass	"Unit of Molar Mass"
measurement_unit.unit_of_resistivity	"Unit of Resistivity"
measurement_unit.unit_of_specific_fuel_consumption	"Unit of Specific Fuel Consumption"
measurement_unit.unit_of_surface_density	"Unit of Surface Density"
measurement_unit.unit_of_symbol_rate	"Unit of Symbol Rate"
measurement_unit.unit_of_volumetric_flow_rate	"Unit of Volumetric Flow Rate"
measurement_unit.viscosity_unit	"Unit of Viscosity"
measurement_unit.volume_unit	"Unit Of Volume"
measurement_unit.volumetric_heat_capacity_unit	"Unit of Volumetric Heat Capacity"
measurement_unit.wavenumber_unit	"Unit of Wavenumber"
media_common.adaptation	"Adaptation"
media_common.adapted_work	"Adapted Work"
media_common.cataloged_instance	"Cataloged instance"
media_common.cause_of_loss	"Cause of loss"
media_common.completer_of_unfinished_work	"Completer of unfinished work"
media_common.completion_of_unfinished_work	"Completion of unfinished work"
media_common.creative_work	"Creative Work"
media_common.dedicated_work	"Dedicated Work"
media_common.dedicatee	"Dedicatee"
media_common.dedication	"Dedication"
media_common.dedicator	"Dedicator"
media_common.finished_work	"Finished work"
media_common.literary_genre	"Literary Genre"
media_common.lost_work	"Lost work"
media_common.media_genre	"Media genre"
media_common.media_genre_equivalent_topic	"Media genre equivalent topic"
media_common.netflix_genre	"Netflix Genre"
media_common.netflix_title	"Netflix Title"
media_common.quotation	"Quotation"
media_common.quotation_addressee	"Quotation addressee"
media_common.quotation_source	"Quotation Source"
